"sample_label","npoc_mgL","npoc_ug_g","notes"
"COMPASS_Dec2021_006",5.797,47.72,"WSOC-syringe filtered"
"COMPASS_Dec2021_007",12.56,110.25,"WSOC-syringe filtered"
"COMPASS_Dec2021_008",5.677,46.51,"WSOC-syringe filtered"
"COMPASS_Dec2021_009",6.021,50.81,"WSOC-syringe filtered"
"COMPASS_Dec2021_010",7.001,95.32,"WSOC-syringe filtered"
"COMPASS_Dec2021_011",5.074,55.67,"WSOC-syringe filtered"
"COMPASS_Dec2021_012",4.566,50.23,"WSOC-syringe filtered"
"COMPASS_Dec2021_013",6.676,74.21,"WSOC-syringe filtered"
"COMPASS_Dec2021_014",5.312,46.26,"WSOC-syringe filtered"
"COMPASS_Dec2021_015",7.082,54.08,"WSOC-syringe filtered"
"COMPASS_Dec2021_016",17.07,303.61,"WSOC-syringe filtered"
"COMPASS_Dec2021_017",6.261,68.87,"WSOC-syringe filtered"
"COMPASS_Dec2021_018",6.051,61.99,"WSOC-syringe filtered"
"COMPASS_Dec2021_019",3.775,82.44,"WSOC-syringe filtered"
"COMPASS_Dec2021_020",2.948,72.04,"WSOC-syringe filtered"
"COMPASS_May22_142",6.285,531.69,""
"COMPASS_May22_143",6.356,629.75,""
"COMPASS_May22_144",6.904,733.57,""
"COMPASS_May22_129",47.02,875.51,""
"COMPASS_May22_130",25.32,547.07,""
"COMPASS_May22_131",36.65,918.77,""
"COMPASS_May22_132",30.31,780.47,""
"COMPASS_May22_133",30.39,790.6,""
"COMPASS_May22_134",33.64,840.23,""
"COMPASS_May22_135",34.09,711.52,""
"COMPASS_May22_136",28.29,592.86,""
"COMPASS_May22_137",11.78,516.81,""
"COMPASS_May22_138",15.07,545.83,""
"COMPASS_May22_139",24.62,827.1,""
"COMPASS_May22_140",19.86,688.83,""
"COMPASS_May22_141",26.21,685.47,""
"COMPASS_May22_145",7.553,425.16,""
"COMPASS_May22_146",6.922,381.22,""
"COMPASS_May22_147",4.333,235.12,""
"COMPASS_May22_148",4.857,296.67,""
"COMPASS_May22_149",5.24,269.45,""
"COMPASS_May22_150",7.831,431.53,""
"COMPASS_May22_151",3.987,219.2,""
"COMPASS_May22_152",5.585,323.88,""
"COMPASS_May22_153",6.895,427.11,""
"COMPASS_May22_154",23.34,203.93,""
"COMPASS_May22_155",16.27,142.74,""
"COMPASS_May22_156",16.95,131.44,""
"COMPASS_May22_157",8.654,63.14,""
"COMPASS_May22_158",11.92,87.15,""
"COMPASS_May22_159",20.2,166.75,""
"COMPASS_May22_160",23.82,212.06,""
"COMPASS_May22_161",24.69,212.75,""
"COMPASS_May22_162",12.11,91.82,""
"COMPASS_May22_163",10.65,82.06,""
"COMPASS_May22_164",8.976,73.83,""
"COMPASS_May22_165",3.906,26.44,""
"COMPASS_May22_166",4.359,28.78,""
"COMPASS_May22_167",7.427,51.72,""
"COMPASS_May22_168",7.429,55.22,""
"COMPASS_May22_169",5.786,38.91,""
"COMPASS_May22_170",7.55,55.04,""
"COMPASS_May22_171",5.582,38.44,""
"COMPASS_May22_172",58.22,1346.81,""
"COMPASS_May22_173",57.44,745.37,""
"COMPASS_May22_174",43.04,600.49,""
"COMPASS_May22_175",43.9,643.44,""
"COMPASS_May22_176",45.07,619.19,""
"COMPASS_May22_177",44.37,839.57,""
"COMPASS_May22_178",26.19,528.36,""
"COMPASS_May22_179",75.86,1003.81,""
"COMPASS_May22_180",17.32,552.47,""
"COMPASS_May22_181",17.7,614.54,""
"COMPASS_May22_182",17.79,646.6,""
"COMPASS_May22_183",25.64,820.25,""
"COMPASS_May22_184",15.44,558.1,""
"COMPASS_May22_185",16.81,545.51,""
"COMPASS_May22_186",17.45,640.96,""
"COMPASS_May22_187",19.01,672.87,""
"COMPASS_May22_188",14.14,509.87,""
"COMPASS_May22_189",13.83,355.23,""
"COMPASS_May22_190",16.51,495.62,""
"COMPASS_May22_191",7.172,122.77,""
"COMPASS_May22_192",16.6,383.44,""
"COMPASS_May22_193",8.424,77.84,""
"COMPASS_May22_194",11.57,145.31,""
"COMPASS_May22_195",13.34,279.92,""
"COMPASS_May22_196",30.01,260.7,""
"COMPASS_May22_197",30.03,210.17,""
"COMPASS_May22_198",16.75,125.76,""
"COMPASS_May22_199",21.09,138.91,""
"COMPASS_May22_200",24.51,171.04,""
"COMPASS_May22_201",18.54,166.18,""
"COMPASS_May22_202",10.21,72.53,""
"COMPASS_May22_203",19.84,163.39,""
"COMPASS_May22_204",11.49,115.29,""
"COMPASS_May22_206",13.23,99.21,""
"COMPASS_May22_207",17.53,126.69,""
"COMPASS_May22_208",7.052,62.49,""
"COMPASS_May22_209",11.22,83.78,""
"COMPASS_May22_210",14.59,116.22,""
"COMPASS_May22_211",14.15,106.67,""
"COMPASS_May22_212",29.19,219.93,""
"COMPASS_May22_214",11.5,75.44,""
