"sample_label","TC_perc","TN_perc","TS_perc"
"COMPASS_Dec2021_001",7.84,0.537,0.055
"COMPASS_Dec2021_002",7.49,0.559,0.059
"COMPASS_Dec2021_003",7.649,0.598,0.059
"COMPASS_Dec2021_004",6.067,0.487,0.045
"COMPASS_Dec2021_005",6.576,0.549,0.052
"COMPASS_Dec2021_006",7.335,0.588,0.055
"COMPASS_Dec2021_007",8.439,0.651,0.069
"COMPASS_Dec2021_008",7.659,0.64,0.064
"COMPASS_Dec2021_009",6.338,0.516,0.052
"COMPASS_Dec2021_010",10.452,0.806,0.096
"COMPASS_Dec2021_011",9.205,0.75,0.093
"COMPASS_Dec2021_012",8.053,0.643,0.072
"COMPASS_Dec2021_013",8.562,0.711,0.08
"COMPASS_Dec2021_014",6.075,0.533,0.051
"COMPASS_Dec2021_015",6.509,0.498,0.056
"COMPASS_Dec2021_016",24.566,1.956,0.208
"COMPASS_Dec2021_017",9.309,0.707,0.093
"COMPASS_Dec2021_018",8.029,0.676,0.081
"COMPASS_Dec2021_019",7.222,0.689,0.118
"COMPASS_Dec2021_020",6.842,0.656,
"COMPASS_Dec2021_021",8.335,0.734,0.11
"COMPASS_Dec2021_022",9.217,0.789,
"COMPASS_Dec2021_023",8.742,0.716,0.161
"COMPASS_Dec2021_024",8.62,0.768,
"COMPASS_Dec2021_025",8.297,0.725,
"COMPASS_Dec2021_026",7.291,0.694,0.131
"COMPASS_Dec2021_027",7.411,0.707,
"COMPASS_Dec2021_028",8.942,0.659,0.222
"COMPASS_Dec2021_029",7.759,0.643,0.181
"COMPASS_Dec2021_030",7.793,0.671,0.197
"COMPASS_Dec2021_031",6.436,0.562,0.098
"COMPASS_Dec2021_032",6.571,0.612,0.096
"COMPASS_Dec2021_033",6.175,0.528,0.093
"COMPASS_Dec2021_034",5.674,0.416,0.047
"COMPASS_Dec2021_035",8.842,0.564,0.057
"COMPASS_Dec2021_036",6.266,0.461,0.049
"COMPASS_Dec2021_037",6.922,0.501,0.051
"COMPASS_Dec2021_038",6.72,0.503,0.051
"COMPASS_Dec2021_039",9.493,0.674,0.069
"COMPASS_Dec2021_040",7.132,0.6,0.059
"COMPASS_Dec2021_041",6.065,0.46,0.054
"COMPASS_Dec2021_042",7.177,0.531,0.053
"COMPASS_Dec2021_043",9.777,0.711,0.106
"COMPASS_Dec2021_044",15.673,1.001,0.139
"COMPASS_Dec2021_045",17.352,1.128,0.203
"COMPASS_Dec2021_046",10.059,0.739,0.17
"COMPASS_Dec2021_047",10.683,0.762,0.136
"COMPASS_Dec2021_048",10.232,0.724,0.148
"COMPASS_Dec2021_049",13.248,0.894,0.149
"COMPASS_Dec2021_050",12.143,0.861,0.153
"COMPASS_Dec2021_051",8.972,0.683,0.106
"COMPASS_Dec2021_052",8.712,0.92,0.381
"COMPASS_Dec2021_053",7.869,0.886,
"COMPASS_Dec2021_054",8.254,0.812,0.285
"COMPASS_Dec2021_055",8.34,0.698,0.236
"COMPASS_Dec2021_056",6.017,0.526,0.127
"COMPASS_Dec2021_057",7.346,0.644,0.098
"COMPASS_Dec2021_058",8.843,0.758,0.205
"COMPASS_Dec2021_059",6.452,0.631,0.16
"COMPASS_Dec2021_060",7.107,0.735,0.217
"COMPASS_Dec2021_061",4.754,0.355,0.039
"COMPASS_Dec2021_062",4.447,0.306,0.024
"COMPASS_Dec2021_063",5.817,0.366,0.029
"COMPASS_Dec2021_064",5.128,0.371,0.027
"COMPASS_Dec2021_065",6.135,0.444,0.033
"COMPASS_Dec2021_066",3.017,0.256,0.017
"COMPASS_Dec2021_067",4.282,0.343,0.024
"COMPASS_Dec2021_074",7.108,8.421,0.047
"COMPASS_Dec2021_075",7.994,0.591,0.054
"COMPASS_Dec2021_076",5.318,0.384,0.036
"COMPASS_Dec2021_077",5.905,0.42,0.033
"COMPASS_Dec2021_078",8.908,0.622,0.046
"COMPASS_Dec2021_079",7.383,0.53,0.047
"COMPASS_Dec2021_080",5.732,0.444,0.043
"COMPASS_Dec2021_081",7.166,0.555,0.055
"COMPASS_Dec2021_082",5.736,0.428,0.057
"COMPASS_Dec2021_083",4.843,0.399,0.047
"COMPASS_Dec2021_084",7.034,0.497,0.066
"COMPASS_Dec2021_085",9.327,0.694,0.086
"COMPASS_Dec2021_086",6.714,0.519,0.084
"COMPASS_Dec2021_087",10.381,0.746,0.102
"COMPASS_Dec2021_088",3.828,0.329,0.057
"COMPASS_Dec2021_089",8.329,0.621,0.116
"COMPASS_Dec2021_090",6.625,0.518,0.086
"COMPASS_Dec2021_091",8.635,0.623,0.108
"COMPASS_Dec2021_092",4.959,0.424,0.061
"COMPASS_Dec2021_093",6.93,0.559,0.092
"COMPASS_Dec2021_094",7.119,0.581,0.096
"COMPASS_Dec2021_095",5.593,0.455,0.086
"COMPASS_Dec2021_096",1.054,0.098,0.007
"COMPASS_Dec2021_097",0.971,0.096,0.01
"COMPASS_Dec2021_098",0.549,0.078,0.004
"COMPASS_Dec2021_099",0.46,0.058,0.004
"COMPASS_Dec2021_100",0.525,0.073,0
"COMPASS_Dec2021_100",0.525,0.073,0.006
"COMPASS_Dec2021_101",0.5,0.053,0.004
"COMPASS_Dec2021_102",0.734,0.085,0.009
"COMPASS_Dec2021_103",0.601,0.082,0.007
"COMPASS_Dec2021_106",1.529,0.131,0.011
"COMPASS_Dec2021_107",0.546,0.059,0.004
"COMPASS_Dec2021_108",1.148,0.105,0.007
