"sample_label","TC_perc","TN_perc","TS_perc"
"COMPASS_Dec2021_109",0.293,0.048,0.004
"COMPASS_Dec2021_110",0.336,0.05,0.003
"COMPASS_Dec2021_111",0.548,0.069,0.017
"COMPASS_Dec2021_116",1.435,0.143,0.017
"COMPASS_Dec2021_117",0.403,0.052,0.003
"COMPASS_Dec2021_118",1.574,0.156,0.018
"COMPASS_Dec2021_119",1.503,0.141,0.016
"COMPASS_Dec2021_120",1.532,0.156,0.016
"COMPASS_Dec2021_121",1.828,0.166,0.023
"COMPASS_Dec2021_122",1.32,0.122,0.014
"COMPASS_Dec2021_123",0.979,0.097,0.008
"COMPASS_Dec2021_124",1.425,0.136,0.073
"COMPASS_Dec2021_068",7.039,0.469,0.034
"COMPASS_Dec2021_069",5.381,0.342,0.022
"COMPASS_Dec2021_070",5.302,0.358,0.038
"COMPASS_Dec2021_071",5.812,0.394,0.031
"COMPASS_Dec2021_072",6.686,0.441,0.044
"COMPASS_Dec2021_073",5.88,0.423,0.033
