"sample_label","NO3_mgL","no3_ug_g"
"COMPASS_Dec2021_057",1.2767664560096,19.12
"COMPASS_Dec2021_058",5.45514515195005,89.18
"COMPASS_Dec2021_059",3.35070624669537,50.07
"COMPASS_Dec2021_060",8.09331856216062,148.66
"COMPASS_Dec2021_061",6.58361239099966,53.41
"COMPASS_Dec2021_062",5.21115223539878,42.46
"COMPASS_Dec2021_063",3.39645491854873,27.46
"COMPASS_Dec2021_064",3.48795226225546,26.08
"COMPASS_Dec2021_065",8.87104598366778,72.95
"COMPASS_Dec2021_066",4.05218588178026,29.81
"COMPASS_Dec2021_067",6.0041292141904,49.42
"COMPASS_Dec2021_068",9.1302884575035,82.46
"COMPASS_Dec2021_069",4.99765843341642,39.88
"COMPASS_Dec2021_070",0.422791248080167,4.15
"COMPASS_Dec2021_071",4.81466374600297,41.87
"COMPASS_Dec2021_072",,
"COMPASS_Dec2021_073",4.46392392846052,40.84
"COMPASS_Dec2021_074",2.63397705432602,28.92
"COMPASS_Dec2021_075",3.42695403311764,33.61
"COMPASS_Dec2021_076",2.48148148148148,24.56
"COMPASS_Dec2021_077",4.08268499634917,39
"COMPASS_Dec2021_078",4.98240887613197,57.66
"COMPASS_Dec2021_079",5.82113452677695,71.99
"COMPASS_Dec2021_080",6.11087611518158,65.17
"COMPASS_Dec2021_081",7.19359468237782,83.96
"COMPASS_Dec2021_082",4.43342481389162,49.25
"COMPASS_Dec2021_083",3.89969030893572,38.72
"COMPASS_Dec2021_084",3.15246200199747,38.76
"COMPASS_Dec2021_085",7.59008317177363,110.24
"COMPASS_Dec2021_086",3.54895049139327,42.67
"COMPASS_Dec2021_087",4.98240887613197,67.53
"COMPASS_Dec2021_088",1.24626734144069,14.91
"COMPASS_Dec2021_089",3.1067133301441,48.39
"COMPASS_Dec2021_090",1.68850450268986,21.92
"COMPASS_Dec2021_091",1.56650804441423,24.45
"COMPASS_Dec2021_092",1.47501070070751,18.43
"COMPASS_Dec2021_093",2.08499299208567,31.76
"COMPASS_Dec2021_094",0.971775310320518,13.54
"COMPASS_Dec2021_095",1.68850450268986,20.9
"COMPASS_Dec2021_096",2.13074166393904,
"COMPASS_Dec2021_097",0.590536378209163,
"COMPASS_Dec2021_098",3.62519827781554,
"COMPASS_Dec2021_099",0.148299216959992,
"COMPASS_Dec2021_100",0.36179301894235,
"COMPASS_Dec2021_101",0.712532836484797,
"COMPASS_Dec2021_102",6.81235575026647,
"COMPASS_Dec2021_103",0.1787983315289,
"COMPASS_Dec2021_106",4.58592038673616,
"COMPASS_Dec2021_107",0.560037263640255,
"COMPASS_Dec2021_108",,
"COMPASS_Dec2021_109",,
"COMPASS_Dec2021_110",,
"COMPASS_Dec2021_111",,
"COMPASS_Dec2021_112",1.17001955501842,
"COMPASS_Dec2021_113",,
"COMPASS_Dec2021_114",0.300794789804534,
"COMPASS_Dec2021_115",1.24626734144069,
"COMPASS_Dec2021_116",1.18526911230288,
"COMPASS_Dec2021_117",0.544787706355801,
"COMPASS_Dec2021_118",0.590536378209163,
"COMPASS_Dec2021_119",0.148299216959992,
"COMPASS_Dec2021_120",0.483789477217984,
