"sample_label","NO3_mgL","no3_ug_g"
"COMPASS_Dec2021_001",12.8816795494792,112.13
"COMPASS_Dec2021_002",7.45283715621354,63.27
"COMPASS_Dec2021_003",5.31789913638996,44.23
"COMPASS_Dec2021_004",3.89969030893572,30.98
"COMPASS_Dec2021_005",4.31142835561598,35.79
"COMPASS_Dec2021_006",7.52908494263582,61.97
"COMPASS_Dec2021_007",5.97363009962149,52.31
"COMPASS_Dec2021_008",8.64230262440097,70.98
"COMPASS_Dec2021_009",11.0517326753447,93.27
"COMPASS_Dec2021_010",4.23518056919371,57.62
"COMPASS_Dec2021_011",5.57714161022568,61.01
"COMPASS_Dec2021_012",4.21993101190926,46.42
"COMPASS_Dec2021_013",5.62289028207904,62.46
"COMPASS_Dec2021_014",8.85579642638333,76.84
"COMPASS_Dec2021_015",4.3724265847538,33.34
"COMPASS_Dec2021_016",27.780497016391,493.24
"COMPASS_Dec2021_017",7.8340760883249,86.33
"COMPASS_Dec2021_018",2.43573280962812,25.01
"COMPASS_Dec2021_019",8.29156280685853,181
"COMPASS_Dec2021_020",4.06743543906472,99.61
"COMPASS_Dec2021_021",4.72316640229625,95.02
"COMPASS_Dec2021_022",6.64461062013747,168.51
"COMPASS_Dec2021_023",2.40523369505921,39.37
"COMPASS_Dec2021_024",2.71022484074829,57.57
"COMPASS_Dec2021_025",5.76013629763913,155.49
"COMPASS_Dec2021_026",6.67510973470638,135.82
"COMPASS_Dec2021_027",7.1020973386711,150.65
"COMPASS_Dec2021_028",1.90199830467222,33.16
"COMPASS_Dec2021_029",2.86272041359284,46.05
"COMPASS_Dec2021_030",3.59469916324664,59.76
"COMPASS_Dec2021_031",0.804030180191522,10.76
"COMPASS_Dec2021_032",3.22870978841974,55.94
"COMPASS_Dec2021_033",4.9366602042786,59.88
"COMPASS_Dec2021_034",7.95607254660053,66.52
"COMPASS_Dec2021_035",5.88213275591476,53.25
"COMPASS_Dec2021_036",7.6663309581959,66.22
"COMPASS_Dec2021_037",8.59655395254761,77.98
"COMPASS_Dec2021_038",9.35903181677032,83.65
"COMPASS_Dec2021_039",6.99535043767992,72.23
"COMPASS_Dec2021_040",6.55311327643075,65.92
"COMPASS_Dec2021_041",7.95607254660053,70.92
"COMPASS_Dec2021_042",5.28740002182105,50.59
"COMPASS_Dec2021_043",5.48564426651896,69.22
"COMPASS_Dec2021_044",9.8317680925884,159.54
"COMPASS_Dec2021_045",9.31328314491696,182.06
"COMPASS_Dec2021_046",2.08499299208567,35.9
"COMPASS_Dec2021_047",3.74719473609118,67.81
"COMPASS_Dec2021_048",3.65569739238445,56.67
"COMPASS_Dec2021_049",5.1044053344076,77.09
"COMPASS_Dec2021_050",2.49673103876594,48.53
"COMPASS_Dec2021_051",2.78647262717057,35.44
"COMPASS_Dec2021_052",0.194047888813354,4.42
"COMPASS_Dec2021_053",7.60533272905809,215.2
"COMPASS_Dec2021_054",8.27631324957407,166.55
"COMPASS_Dec2021_055",3.24395934570419,57.05
"COMPASS_Dec2021_056",3.96068853807354,52.3
