"sample_label","TC_perc","TN_perc","TS_perc"
"COMPASS_May22_131",35.503,1.337,
"COMPASS_May22_132",31.068,1.029,
"COMPASS_May22_133",35.136,1.263,
"COMPASS_May22_142",27.324,1.171,
"COMPASS_May22_143",26.889,1.343,
"COMPASS_May22_129",28.582,0.783,
"COMPASS_May22_130",33.01,1.035,
"COMPASS_May22_134",36.542,1.119,
"COMPASS_May22_135",32.866,1.333,
"COMPASS_May22_136",28.411,1.102,
"COMPASS_May22_139",32.886,1.583,
"COMPASS_May22_140",34.061,1.5,
"COMPASS_May22_141",33.159,1.613,
"COMPASS_May22_160",6.636,0.25,
"COMPASS_May22_173",34.195,1.208,
"COMPASS_May22_154",6.645,0.247,
"COMPASS_May22_155",5.981,0.241,
"COMPASS_May22_156",3.48,0.137,
"COMPASS_May22_157",2.529,0.104,
"COMPASS_May22_158",2.616,0.092,
"COMPASS_May22_159",5.086,0.203,
"COMPASS_May22_161",5.706,0.217,
"COMPASS_May22_162",3.008,0.124,
"COMPASS_May22_163",3.124,0.144,
"COMPASS_May22_164",3.159,0.133,
"COMPASS_May22_165",1.494,0.061,
"COMPASS_May22_166",1.08,0.046,
"COMPASS_May22_167",1.83,0.076,
"COMPASS_May22_168",2.531,0.115,
"COMPASS_May22_169",1.638,0.068,
"COMPASS_May22_170",2.412,0.099,
"COMPASS_May22_171",1.684,0.066,
"COMPASS_May22_172",34.831,1.404,
"COMPASS_May22_173",32.815,1.224,
"COMPASS_May22_174",22.122,0.808,
"COMPASS_May22_175",33.96,1.255,
"COMPASS_May22_176",30.739,1.321,
"COMPASS_May22_177",37.672,1.347,
"COMPASS_May22_178",30.709,1.403,
"COMPASS_May22_179",35.26,1.324,
"COMPASS_May22_180",20.996,0.968,
"COMPASS_May22_181",30.533,1.422,
"COMPASS_May22_182",26.549,1.27,
"COMPASS_May22_184",27.125,1.17,
"COMPASS_May22_186",26.152,1.246,
"COMPASS_May22_196",6.831,0.236,
"COMPASS_May22_197",5.069,0.158,
"COMPASS_May22_198",5.011,0.205,
"COMPASS_May22_199",3.102,0.103,
"COMPASS_May22_200",5.132,0.178,
"COMPASS_May22_201",7.089,0.289,
"COMPASS_May22_202",3.645,0.143,
"COMPASS_May22_203",6.72,0.27,
"COMPASS_May22_204",4.724,0.198,
"COMPASS_May22_206",3.859,0.141,
"COMPASS_May22_207",3.474,0.121,
"COMPASS_May22_208",4.727,0.194,
"COMPASS_May22_209",3.417,0.152,
"COMPASS_May22_210",4.622,0.193,
"COMPASS_May22_211",3.629,0.153,
"COMPASS_May22_212",3.183,0.12,
"COMPASS_May22_214",2.357,0.135,
"COMPASS_May22_145",27.634,1.419,
"COMPASS_May22_146",38.697,1.803,
"COMPASS_May22_147",31.479,1.643,
"COMPASS_May22_148",22.558,1.367,
"COMPASS_May22_149",41.044,1.575,
"COMPASS_May22_150",28.568,1.67,
"COMPASS_May22_151",40.417,1.662,
"COMPASS_May22_152",31.239,2.039,
"COMPASS_May22_153",34.105,2.167,
