"pF","vol_water_perc","EC_kit","site","transect","kPa"
-1.317,17.03,"K017","SWH","upland",0
-1.297,17.03,"K017","SWH","upland",0.01
-1.277,17.03,"K017","SWH","upland",0.01
-1.257,17.03,"K017","SWH","upland",0.01
-1.236,17.03,"K017","SWH","upland",0.01
-1.216,17.03,"K017","SWH","upland",0.01
-1.196,17.03,"K017","SWH","upland",0.01
-1.176,17.03,"K017","SWH","upland",0.01
-1.156,17.03,"K017","SWH","upland",0.01
-1.136,17.03,"K017","SWH","upland",0.01
-1.116,17.03,"K017","SWH","upland",0.01
-1.096,17.03,"K017","SWH","upland",0.01
-1.076,17.03,"K017","SWH","upland",0.01
-1.056,17.03,"K017","SWH","upland",0.01
-1.036,17.03,"K017","SWH","upland",0.01
-1.016,17.03,"K017","SWH","upland",0.01
-0.996,17.03,"K017","SWH","upland",0.01
-0.976,17.03,"K017","SWH","upland",0.01
-0.956,17.03,"K017","SWH","upland",0.01
-0.936,17.03,"K017","SWH","upland",0.01
-0.916,17.03,"K017","SWH","upland",0.01
-0.896,17.03,"K017","SWH","upland",0.01
-0.876,17.03,"K017","SWH","upland",0.01
-0.856,17.03,"K017","SWH","upland",0.01
-0.836,17.03,"K017","SWH","upland",0.01
-0.816,17.03,"K017","SWH","upland",0.02
-0.796,17.03,"K017","SWH","upland",0.02
-0.776,17.03,"K017","SWH","upland",0.02
-0.756,17.03,"K017","SWH","upland",0.02
-0.735,17.03,"K017","SWH","upland",0.02
-0.715,17.03,"K017","SWH","upland",0.02
-0.695,17.03,"K017","SWH","upland",0.02
-0.675,17.03,"K017","SWH","upland",0.02
-0.655,17.03,"K017","SWH","upland",0.02
-0.635,17.03,"K017","SWH","upland",0.02
-0.615,17.03,"K017","SWH","upland",0.02
-0.595,17.03,"K017","SWH","upland",0.03
-0.575,17.03,"K017","SWH","upland",0.03
-0.555,17.03,"K017","SWH","upland",0.03
-0.535,17.03,"K017","SWH","upland",0.03
-0.515,17.03,"K017","SWH","upland",0.03
-0.495,17.03,"K017","SWH","upland",0.03
-0.475,17.03,"K017","SWH","upland",0.03
-0.455,17.03,"K017","SWH","upland",0.04
-0.435,17.03,"K017","SWH","upland",0.04
-0.415,17.03,"K017","SWH","upland",0.04
-0.395,17.03,"K017","SWH","upland",0.04
-0.375,17.03,"K017","SWH","upland",0.04
-0.355,17.03,"K017","SWH","upland",0.04
-0.335,17.03,"K017","SWH","upland",0.05
-0.315,17.03,"K017","SWH","upland",0.05
-0.295,17.03,"K017","SWH","upland",0.05
-0.275,17.03,"K017","SWH","upland",0.05
-0.255,17.03,"K017","SWH","upland",0.06
-0.234,17.03,"K017","SWH","upland",0.06
-0.214,17.03,"K017","SWH","upland",0.06
-0.194,17.03,"K017","SWH","upland",0.06
-0.174,17.03,"K017","SWH","upland",0.07
-0.154,17.03,"K017","SWH","upland",0.07
-0.134,17.03,"K017","SWH","upland",0.07
-0.114,17.03,"K017","SWH","upland",0.08
-0.094,17.03,"K017","SWH","upland",0.08
-0.074,17.03,"K017","SWH","upland",0.08
-0.054,17.03,"K017","SWH","upland",0.09
-0.034,17.03,"K017","SWH","upland",0.09
-0.014,17.03,"K017","SWH","upland",0.1
0.006,17.03,"K017","SWH","upland",0.1
0.026,17.03,"K017","SWH","upland",0.11
0.046,17.03,"K017","SWH","upland",0.11
0.066,17.03,"K017","SWH","upland",0.12
0.086,17.03,"K017","SWH","upland",0.12
0.106,17.03,"K017","SWH","upland",0.13
0.126,17.03,"K017","SWH","upland",0.13
0.146,17.03,"K017","SWH","upland",0.14
0.166,17.03,"K017","SWH","upland",0.15
0.186,17.03,"K017","SWH","upland",0.15
0.206,17.03,"K017","SWH","upland",0.16
0.226,17.03,"K017","SWH","upland",0.17
0.246,17.03,"K017","SWH","upland",0.18
0.267,17.03,"K017","SWH","upland",0.18
0.287,17.03,"K017","SWH","upland",0.19
0.307,17.03,"K017","SWH","upland",0.2
0.327,17.03,"K017","SWH","upland",0.21
0.347,17.03,"K017","SWH","upland",0.22
0.367,17.03,"K017","SWH","upland",0.23
0.387,17.03,"K017","SWH","upland",0.24
0.407,17.03,"K017","SWH","upland",0.26
0.427,17.03,"K017","SWH","upland",0.27
0.447,17.03,"K017","SWH","upland",0.28
0.467,17.03,"K017","SWH","upland",0.29
0.487,17.03,"K017","SWH","upland",0.31
0.507,17.03,"K017","SWH","upland",0.32
0.527,17.03,"K017","SWH","upland",0.34
0.547,17.03,"K017","SWH","upland",0.35
0.567,17.03,"K017","SWH","upland",0.37
0.587,17.03,"K017","SWH","upland",0.39
0.607,17.03,"K017","SWH","upland",0.4
0.627,17.03,"K017","SWH","upland",0.42
0.647,17.03,"K017","SWH","upland",0.44
0.667,17.03,"K017","SWH","upland",0.46
0.687,17.03,"K017","SWH","upland",0.49
0.707,17.03,"K017","SWH","upland",0.51
0.727,17.03,"K017","SWH","upland",0.53
0.747,17.03,"K017","SWH","upland",0.56
0.768,17.03,"K017","SWH","upland",0.59
0.788,17.03,"K017","SWH","upland",0.61
0.808,17.03,"K017","SWH","upland",0.64
0.828,17.03,"K017","SWH","upland",0.67
0.848,17.03,"K017","SWH","upland",0.7
0.868,17.03,"K017","SWH","upland",0.74
0.888,17.03,"K017","SWH","upland",0.77
0.908,17.03,"K017","SWH","upland",0.81
0.928,17.03,"K017","SWH","upland",0.85
0.948,17.03,"K017","SWH","upland",0.89
0.968,17.03,"K017","SWH","upland",0.93
0.988,17.03,"K017","SWH","upland",0.97
1.008,17.03,"K017","SWH","upland",1.02
1.028,17.03,"K017","SWH","upland",1.07
1.048,17.03,"K017","SWH","upland",1.12
1.068,17.03,"K017","SWH","upland",1.17
1.088,17.03,"K017","SWH","upland",1.22
1.108,17.03,"K017","SWH","upland",1.28
1.128,17.03,"K017","SWH","upland",1.34
1.148,17.03,"K017","SWH","upland",1.41
1.168,17.03,"K017","SWH","upland",1.47
1.188,17.03,"K017","SWH","upland",1.54
1.208,17.02,"K017","SWH","upland",1.61
1.228,17.02,"K017","SWH","upland",1.69
1.248,17.02,"K017","SWH","upland",1.77
1.269,17.02,"K017","SWH","upland",1.86
1.289,17.02,"K017","SWH","upland",1.95
1.309,17.02,"K017","SWH","upland",2.04
1.329,17.01,"K017","SWH","upland",2.13
1.349,17.01,"K017","SWH","upland",2.23
1.369,17,"K017","SWH","upland",2.34
1.389,17,"K017","SWH","upland",2.45
1.409,16.99,"K017","SWH","upland",2.56
1.429,16.99,"K017","SWH","upland",2.69
1.449,16.98,"K017","SWH","upland",2.81
1.469,16.97,"K017","SWH","upland",2.94
1.489,16.96,"K017","SWH","upland",3.08
1.509,16.94,"K017","SWH","upland",3.23
1.529,16.93,"K017","SWH","upland",3.38
1.549,16.91,"K017","SWH","upland",3.54
1.569,16.89,"K017","SWH","upland",3.71
1.589,16.87,"K017","SWH","upland",3.88
1.609,16.84,"K017","SWH","upland",4.06
1.629,16.8,"K017","SWH","upland",4.26
1.649,16.77,"K017","SWH","upland",4.46
1.669,16.72,"K017","SWH","upland",4.67
1.689,16.67,"K017","SWH","upland",4.89
1.709,16.61,"K017","SWH","upland",5.12
1.729,16.53,"K017","SWH","upland",5.36
1.749,16.45,"K017","SWH","upland",5.61
1.77,16.36,"K017","SWH","upland",5.89
1.79,16.24,"K017","SWH","upland",6.17
1.81,16.12,"K017","SWH","upland",6.46
1.83,15.97,"K017","SWH","upland",6.76
1.85,15.8,"K017","SWH","upland",7.08
1.87,15.61,"K017","SWH","upland",7.41
1.89,15.39,"K017","SWH","upland",7.76
1.91,15.15,"K017","SWH","upland",8.13
1.93,14.88,"K017","SWH","upland",8.51
1.95,14.57,"K017","SWH","upland",8.91
1.97,14.23,"K017","SWH","upland",9.33
1.99,13.86,"K017","SWH","upland",9.77
2.01,13.45,"K017","SWH","upland",10.23
2.03,13.02,"K017","SWH","upland",10.72
2.05,12.55,"K017","SWH","upland",11.22
2.07,12.05,"K017","SWH","upland",11.75
2.09,11.54,"K017","SWH","upland",12.3
2.11,11,"K017","SWH","upland",12.88
2.13,10.45,"K017","SWH","upland",13.49
2.15,9.9,"K017","SWH","upland",14.13
2.17,9.34,"K017","SWH","upland",14.79
2.19,8.79,"K017","SWH","upland",15.49
2.21,8.25,"K017","SWH","upland",16.22
2.23,7.72,"K017","SWH","upland",16.98
2.251,7.21,"K017","SWH","upland",17.82
2.271,6.73,"K017","SWH","upland",18.66
2.291,6.27,"K017","SWH","upland",19.54
2.311,5.84,"K017","SWH","upland",20.46
2.331,5.44,"K017","SWH","upland",21.43
2.351,5.06,"K017","SWH","upland",22.44
2.371,4.72,"K017","SWH","upland",23.5
2.391,4.4,"K017","SWH","upland",24.6
2.411,4.11,"K017","SWH","upland",25.76
2.431,3.84,"K017","SWH","upland",26.98
2.451,3.6,"K017","SWH","upland",28.25
2.471,3.38,"K017","SWH","upland",29.58
2.491,3.18,"K017","SWH","upland",30.97
2.511,3,"K017","SWH","upland",32.43
2.531,2.84,"K017","SWH","upland",33.96
2.551,2.7,"K017","SWH","upland",35.56
2.571,2.57,"K017","SWH","upland",37.24
2.591,2.45,"K017","SWH","upland",38.99
2.611,2.34,"K017","SWH","upland",40.83
2.631,2.25,"K017","SWH","upland",42.76
2.651,2.17,"K017","SWH","upland",44.77
2.671,2.09,"K017","SWH","upland",46.88
2.691,2.02,"K017","SWH","upland",49.09
2.711,1.96,"K017","SWH","upland",51.4
2.731,1.91,"K017","SWH","upland",53.83
2.752,1.86,"K017","SWH","upland",56.49
2.772,1.82,"K017","SWH","upland",59.16
2.792,1.78,"K017","SWH","upland",61.94
2.812,1.74,"K017","SWH","upland",64.86
2.832,1.71,"K017","SWH","upland",67.92
2.852,1.69,"K017","SWH","upland",71.12
2.872,1.66,"K017","SWH","upland",74.47
2.892,1.64,"K017","SWH","upland",77.98
2.912,1.62,"K017","SWH","upland",81.66
2.932,1.6,"K017","SWH","upland",85.51
2.952,1.59,"K017","SWH","upland",89.54
2.972,1.57,"K017","SWH","upland",93.76
2.992,1.56,"K017","SWH","upland",98.17
3.012,1.55,"K017","SWH","upland",102.8
3.032,1.54,"K017","SWH","upland",107.65
3.052,1.53,"K017","SWH","upland",112.72
3.072,1.52,"K017","SWH","upland",118.03
3.092,1.52,"K017","SWH","upland",123.59
3.112,1.51,"K017","SWH","upland",129.42
3.132,1.5,"K017","SWH","upland",135.52
3.152,1.5,"K017","SWH","upland",141.91
3.172,1.5,"K017","SWH","upland",148.59
3.192,1.49,"K017","SWH","upland",155.6
3.212,1.49,"K017","SWH","upland",162.93
3.232,1.49,"K017","SWH","upland",170.61
3.253,1.48,"K017","SWH","upland",179.06
3.273,1.48,"K017","SWH","upland",187.5
3.293,1.48,"K017","SWH","upland",196.34
3.313,1.48,"K017","SWH","upland",205.59
3.333,1.47,"K017","SWH","upland",215.28
3.353,1.47,"K017","SWH","upland",225.42
3.373,1.47,"K017","SWH","upland",236.05
3.393,1.47,"K017","SWH","upland",247.17
3.413,1.47,"K017","SWH","upland",258.82
3.433,1.47,"K017","SWH","upland",271.02
3.453,1.47,"K017","SWH","upland",283.79
3.473,1.47,"K017","SWH","upland",297.17
3.493,1.47,"K017","SWH","upland",311.17
3.513,1.46,"K017","SWH","upland",325.84
3.533,1.46,"K017","SWH","upland",341.19
3.553,1.46,"K017","SWH","upland",357.27
3.573,1.46,"K017","SWH","upland",374.11
3.593,1.46,"K017","SWH","upland",391.74
3.613,1.46,"K017","SWH","upland",410.2
3.633,1.46,"K017","SWH","upland",429.54
3.653,1.46,"K017","SWH","upland",449.78
3.673,1.46,"K017","SWH","upland",470.98
3.693,1.46,"K017","SWH","upland",493.17
3.713,1.46,"K017","SWH","upland",516.42
3.733,1.46,"K017","SWH","upland",540.75
3.754,1.46,"K017","SWH","upland",567.54
3.774,1.46,"K017","SWH","upland",594.29
3.794,1.46,"K017","SWH","upland",622.3
3.814,1.46,"K017","SWH","upland",651.63
3.834,1.46,"K017","SWH","upland",682.34
3.854,1.46,"K017","SWH","upland",714.5
3.874,1.46,"K017","SWH","upland",748.17
3.894,1.46,"K017","SWH","upland",783.43
3.914,1.46,"K017","SWH","upland",820.35
3.934,1.46,"K017","SWH","upland",859.01
3.954,1.46,"K017","SWH","upland",899.5
3.974,1.46,"K017","SWH","upland",941.89
3.994,1.46,"K017","SWH","upland",986.28
4.014,1.46,"K017","SWH","upland",1032.76
4.034,1.46,"K017","SWH","upland",1081.43
4.054,1.46,"K017","SWH","upland",1132.4
4.074,1.46,"K017","SWH","upland",1185.77
4.094,1.46,"K017","SWH","upland",1241.65
4.114,1.46,"K017","SWH","upland",1300.17
4.134,1.46,"K017","SWH","upland",1361.44
4.154,1.46,"K017","SWH","upland",1425.61
4.174,1.46,"K017","SWH","upland",1492.79
4.194,1.46,"K017","SWH","upland",1563.15
4.214,1.46,"K017","SWH","upland",1636.82
4.234,1.46,"K017","SWH","upland",1713.96
4.255,1.46,"K017","SWH","upland",1798.87
4.275,1.46,"K017","SWH","upland",1883.65
4.295,1.46,"K017","SWH","upland",1972.42
4.315,1.46,"K017","SWH","upland",2065.38
4.335,1.46,"K017","SWH","upland",2162.72
4.355,1.46,"K017","SWH","upland",2264.64
4.375,1.46,"K017","SWH","upland",2371.37
4.395,1.46,"K017","SWH","upland",2483.13
4.415,1.46,"K017","SWH","upland",2600.16
4.435,1.46,"K017","SWH","upland",2722.7
4.455,1.46,"K017","SWH","upland",2851.02
4.475,1.46,"K017","SWH","upland",2985.38
4.495,1.46,"K017","SWH","upland",3126.08
4.515,1.46,"K017","SWH","upland",3273.41
4.535,1.46,"K017","SWH","upland",3427.68
4.555,1.46,"K017","SWH","upland",3589.22
4.575,1.46,"K017","SWH","upland",3758.37
4.595,1.46,"K017","SWH","upland",3935.5
4.615,1.46,"K017","SWH","upland",4120.98
4.635,1.46,"K017","SWH","upland",4315.19
4.655,1.46,"K017","SWH","upland",4518.56
4.675,1.46,"K017","SWH","upland",4731.51
4.695,1.46,"K017","SWH","upland",4954.5
4.715,1.46,"K017","SWH","upland",5188
4.735,1.46,"K017","SWH","upland",5432.5
4.756,1.46,"K017","SWH","upland",5701.64
4.776,1.46,"K017","SWH","upland",5970.35
4.796,1.46,"K017","SWH","upland",6251.73
4.816,1.46,"K017","SWH","upland",6546.36
4.836,1.46,"K017","SWH","upland",6854.88
4.856,1.46,"K017","SWH","upland",7177.94
4.876,1.46,"K017","SWH","upland",7516.23
4.896,1.46,"K017","SWH","upland",7870.46
4.916,1.46,"K017","SWH","upland",8241.38
4.936,1.46,"K017","SWH","upland",8629.79
4.956,1.46,"K017","SWH","upland",9036.49
4.976,1.46,"K017","SWH","upland",9462.37
4.996,1.46,"K017","SWH","upland",9908.32
5.016,1.46,"K017","SWH","upland",10375.28
5.036,1.46,"K017","SWH","upland",10864.26
5.056,1.46,"K017","SWH","upland",11376.27
5.076,1.46,"K017","SWH","upland",11912.42
5.096,1.46,"K017","SWH","upland",12473.84
5.116,1.46,"K017","SWH","upland",13061.71
5.136,1.46,"K017","SWH","upland",13677.29
5.156,1.46,"K017","SWH","upland",14321.88
5.176,1.46,"K017","SWH","upland",14996.85
5.196,1.46,"K017","SWH","upland",15703.63
5.216,1.46,"K017","SWH","upland",16443.72
5.236,1.46,"K017","SWH","upland",17218.69
5.257,1.46,"K017","SWH","upland",18071.74
5.277,1.46,"K017","SWH","upland",18923.44
5.297,1.46,"K017","SWH","upland",19815.27
5.317,1.46,"K017","SWH","upland",20749.14
5.337,1.46,"K017","SWH","upland",21727.01
5.357,1.46,"K017","SWH","upland",22750.97
5.377,1.46,"K017","SWH","upland",23823.19
5.397,1.46,"K017","SWH","upland",24945.95
5.417,1.46,"K017","SWH","upland",26121.61
5.437,1.46,"K017","SWH","upland",27352.69
5.457,1.46,"K017","SWH","upland",28641.78
5.477,1.46,"K017","SWH","upland",29991.63
5.497,1.46,"K017","SWH","upland",31405.09
5.517,1.46,"K017","SWH","upland",32885.16
5.537,1.46,"K017","SWH","upland",34434.99
5.557,1.46,"K017","SWH","upland",36057.86
5.577,1.46,"K017","SWH","upland",37757.22
5.597,1.46,"K017","SWH","upland",39536.66
5.617,1.46,"K017","SWH","upland",41399.97
5.637,1.46,"K017","SWH","upland",43351.09
5.657,1.46,"K017","SWH","upland",45394.16
5.677,1.46,"K017","SWH","upland",47533.52
5.697,1.46,"K017","SWH","upland",49773.71
5.717,1.46,"K017","SWH","upland",52119.47
5.737,1.46,"K017","SWH","upland",54575.79
5.758,1.46,"K017","SWH","upland",57279.6
5.778,1.46,"K017","SWH","upland",59979.11
5.798,1.46,"K017","SWH","upland",62805.84
5.818,1.46,"K017","SWH","upland",65765.78
5.838,1.46,"K017","SWH","upland",68865.23
5.858,1.46,"K017","SWH","upland",72110.75
5.878,1.46,"K017","SWH","upland",75509.22
5.898,1.46,"K017","SWH","upland",79067.86
5.918,1.46,"K017","SWH","upland",82794.22
5.938,1.46,"K017","SWH","upland",86696.19
5.958,1.46,"K017","SWH","upland",90782.05
5.978,1.46,"K017","SWH","upland",95060.48
5.998,1.46,"K017","SWH","upland",99540.54
6.018,1.46,"K017","SWH","upland",104231.74
6.038,1.46,"K017","SWH","upland",109144.03
6.058,1.46,"K017","SWH","upland",114287.83
6.078,1.46,"K017","SWH","upland",119674.05
6.098,1.46,"K017","SWH","upland",125314.12
6.118,1.46,"K017","SWH","upland",131219.99
6.138,1.46,"K017","SWH","upland",137404.2
6.158,1.46,"K017","SWH","upland",143879.86
6.178,1.46,"K017","SWH","upland",150660.71
6.198,1.46,"K017","SWH","upland",157761.13
6.218,1.46,"K017","SWH","upland",165196.18
6.238,1.46,"K017","SWH","upland",172981.64
6.259,1.46,"K017","SWH","upland",181551.57
6.279,1.46,"K017","SWH","upland",190107.83
6.299,1.46,"K017","SWH","upland",199067.33
6.319,1.46,"K017","SWH","upland",208449.09
6.339,1.46,"K017","SWH","upland",218272.99
6.359,1.46,"K017","SWH","upland",228559.88
6.379,1.46,"K017","SWH","upland",239331.58
6.399,1.46,"K017","SWH","upland",250610.93
6.419,1.46,"K017","SWH","upland",262421.85
6.439,1.46,"K017","SWH","upland",274789.42
6.459,1.46,"K017","SWH","upland",287739.84
6.479,1.46,"K017","SWH","upland",301300.6
6.499,1.46,"K017","SWH","upland",315500.46
6.519,1.46,"K017","SWH","upland",330369.54
6.539,1.46,"K017","SWH","upland",345939.38
6.559,1.46,"K017","SWH","upland",362243
6.579,1.46,"K017","SWH","upland",379314.98
6.599,1.46,"K017","SWH","upland",397191.55
6.619,1.46,"K017","SWH","upland",415910.61
6.639,1.46,"K017","SWH","upland",435511.87
6.659,1.46,"K017","SWH","upland",456036.92
6.679,1.46,"K017","SWH","upland",477529.27
6.699,1.46,"K017","SWH","upland",500034.53
6.719,1.46,"K017","SWH","upland",523600.44
6.739,1.46,"K017","SWH","upland",548276.96
6.76,1.46,"K017","SWH","upland",575439.94
6.78,1.46,"K017","SWH","upland",602559.59
6.8,1.46,"K017","SWH","upland",630957.34
6.82,1.46,"K017","SWH","upland",660693.45
6.84,1.46,"K017","SWH","upland",691830.97
6.86,1.46,"K017","SWH","upland",724435.96
6.88,1.46,"K017","SWH","upland",758577.58
6.9,1.46,"K017","SWH","upland",794328.23
6.92,1.46,"K017","SWH","upland",831763.77
6.94,1.46,"K017","SWH","upland",870963.59
6.96,1.46,"K017","SWH","upland",912010.84
6.98,1.46,"K017","SWH","upland",954992.59
7,1.46,"K017","SWH","upland",1e+06
-3,51.28,"K004","PR","transition",0
-2.98,51.28,"K004","PR","transition",0
-2.96,51.28,"K004","PR","transition",0
-2.94,51.28,"K004","PR","transition",0
-2.92,51.28,"K004","PR","transition",0
-2.9,51.28,"K004","PR","transition",0
-2.88,51.28,"K004","PR","transition",0
-2.86,51.28,"K004","PR","transition",0
-2.84,51.28,"K004","PR","transition",0
-2.82,51.28,"K004","PR","transition",0
-2.8,51.28,"K004","PR","transition",0
-2.78,51.28,"K004","PR","transition",0
-2.76,51.28,"K004","PR","transition",0
-2.739,51.28,"K004","PR","transition",0
-2.719,51.28,"K004","PR","transition",0
-2.699,51.28,"K004","PR","transition",0
-2.679,51.28,"K004","PR","transition",0
-2.659,51.28,"K004","PR","transition",0
-2.639,51.28,"K004","PR","transition",0
-2.619,51.28,"K004","PR","transition",0
-2.599,51.28,"K004","PR","transition",0
-2.579,51.28,"K004","PR","transition",0
-2.559,51.28,"K004","PR","transition",0
-2.539,51.28,"K004","PR","transition",0
-2.519,51.28,"K004","PR","transition",0
-2.499,51.28,"K004","PR","transition",0
-2.479,51.28,"K004","PR","transition",0
-2.459,51.28,"K004","PR","transition",0
-2.439,51.28,"K004","PR","transition",0
-2.419,51.28,"K004","PR","transition",0
-2.399,51.28,"K004","PR","transition",0
-2.379,51.28,"K004","PR","transition",0
-2.359,51.28,"K004","PR","transition",0
-2.339,51.28,"K004","PR","transition",0
-2.319,51.28,"K004","PR","transition",0
-2.299,51.28,"K004","PR","transition",0
-2.279,51.28,"K004","PR","transition",0
-2.259,51.28,"K004","PR","transition",0
-2.238,51.28,"K004","PR","transition",0
-2.218,51.28,"K004","PR","transition",0
-2.198,51.28,"K004","PR","transition",0
-2.178,51.28,"K004","PR","transition",0
-2.158,51.28,"K004","PR","transition",0
-2.138,51.28,"K004","PR","transition",0
-2.118,51.28,"K004","PR","transition",0
-2.098,51.28,"K004","PR","transition",0
-2.078,51.28,"K004","PR","transition",0
-2.058,51.28,"K004","PR","transition",0
-2.038,51.28,"K004","PR","transition",0
-2.018,51.28,"K004","PR","transition",0
-1.998,51.28,"K004","PR","transition",0
-1.978,51.27,"K004","PR","transition",0
-1.958,51.27,"K004","PR","transition",0
-1.938,51.27,"K004","PR","transition",0
-1.918,51.27,"K004","PR","transition",0
-1.898,51.27,"K004","PR","transition",0
-1.878,51.27,"K004","PR","transition",0
-1.858,51.27,"K004","PR","transition",0
-1.838,51.27,"K004","PR","transition",0
-1.818,51.27,"K004","PR","transition",0
-1.798,51.27,"K004","PR","transition",0
-1.778,51.27,"K004","PR","transition",0
-1.758,51.27,"K004","PR","transition",0
-1.737,51.27,"K004","PR","transition",0
-1.717,51.27,"K004","PR","transition",0
-1.697,51.27,"K004","PR","transition",0
-1.677,51.27,"K004","PR","transition",0
-1.657,51.27,"K004","PR","transition",0
-1.637,51.27,"K004","PR","transition",0
-1.617,51.26,"K004","PR","transition",0
-1.597,51.26,"K004","PR","transition",0
-1.577,51.26,"K004","PR","transition",0
-1.557,51.26,"K004","PR","transition",0
-1.537,51.26,"K004","PR","transition",0
-1.517,51.26,"K004","PR","transition",0
-1.497,51.26,"K004","PR","transition",0
-1.477,51.26,"K004","PR","transition",0
-1.457,51.26,"K004","PR","transition",0
-1.437,51.25,"K004","PR","transition",0
-1.417,51.25,"K004","PR","transition",0
-1.397,51.25,"K004","PR","transition",0
-1.377,51.25,"K004","PR","transition",0
-1.357,51.25,"K004","PR","transition",0
-1.337,51.25,"K004","PR","transition",0
-1.317,51.24,"K004","PR","transition",0
-1.297,51.24,"K004","PR","transition",0.01
-1.277,51.24,"K004","PR","transition",0.01
-1.257,51.24,"K004","PR","transition",0.01
-1.236,51.23,"K004","PR","transition",0.01
-1.216,51.23,"K004","PR","transition",0.01
-1.196,51.23,"K004","PR","transition",0.01
-1.176,51.23,"K004","PR","transition",0.01
-1.156,51.22,"K004","PR","transition",0.01
-1.136,51.22,"K004","PR","transition",0.01
-1.116,51.22,"K004","PR","transition",0.01
-1.096,51.21,"K004","PR","transition",0.01
-1.076,51.21,"K004","PR","transition",0.01
-1.056,51.2,"K004","PR","transition",0.01
-1.036,51.2,"K004","PR","transition",0.01
-1.016,51.2,"K004","PR","transition",0.01
-0.996,51.19,"K004","PR","transition",0.01
-0.976,51.19,"K004","PR","transition",0.01
-0.956,51.18,"K004","PR","transition",0.01
-0.936,51.18,"K004","PR","transition",0.01
-0.916,51.17,"K004","PR","transition",0.01
-0.896,51.16,"K004","PR","transition",0.01
-0.876,51.16,"K004","PR","transition",0.01
-0.856,51.15,"K004","PR","transition",0.01
