"pF","vol_water_perc","EC_kit","site","transect","kPa"
-3,17.03,"K017","SWH","upland",0
-2.98,17.03,"K017","SWH","upland",0
-2.96,17.03,"K017","SWH","upland",0
-2.94,17.03,"K017","SWH","upland",0
-2.92,17.03,"K017","SWH","upland",0
-2.9,17.03,"K017","SWH","upland",0
-2.88,17.03,"K017","SWH","upland",0
-2.86,17.03,"K017","SWH","upland",0
-2.84,17.03,"K017","SWH","upland",0
-2.82,17.03,"K017","SWH","upland",0
-2.8,17.03,"K017","SWH","upland",0
-2.78,17.03,"K017","SWH","upland",0
-2.76,17.03,"K017","SWH","upland",0
-2.739,17.03,"K017","SWH","upland",0
-2.719,17.03,"K017","SWH","upland",0
-2.699,17.03,"K017","SWH","upland",0
-2.679,17.03,"K017","SWH","upland",0
-2.659,17.03,"K017","SWH","upland",0
-2.639,17.03,"K017","SWH","upland",0
-2.619,17.03,"K017","SWH","upland",0
-2.599,17.03,"K017","SWH","upland",0
-2.579,17.03,"K017","SWH","upland",0
-2.559,17.03,"K017","SWH","upland",0
-2.539,17.03,"K017","SWH","upland",0
-2.519,17.03,"K017","SWH","upland",0
-2.499,17.03,"K017","SWH","upland",0
-2.479,17.03,"K017","SWH","upland",0
-2.459,17.03,"K017","SWH","upland",0
-2.439,17.03,"K017","SWH","upland",0
-2.419,17.03,"K017","SWH","upland",0
-2.399,17.03,"K017","SWH","upland",0
-2.379,17.03,"K017","SWH","upland",0
-2.359,17.03,"K017","SWH","upland",0
-2.339,17.03,"K017","SWH","upland",0
-2.319,17.03,"K017","SWH","upland",0
-2.299,17.03,"K017","SWH","upland",0
-2.279,17.03,"K017","SWH","upland",0
-2.259,17.03,"K017","SWH","upland",0
-2.238,17.03,"K017","SWH","upland",0
-2.218,17.03,"K017","SWH","upland",0
-2.198,17.03,"K017","SWH","upland",0
-2.178,17.03,"K017","SWH","upland",0
-2.158,17.03,"K017","SWH","upland",0
-2.138,17.03,"K017","SWH","upland",0
-2.118,17.03,"K017","SWH","upland",0
-2.098,17.03,"K017","SWH","upland",0
-2.078,17.03,"K017","SWH","upland",0
-2.058,17.03,"K017","SWH","upland",0
-2.038,17.03,"K017","SWH","upland",0
-2.018,17.03,"K017","SWH","upland",0
-1.998,17.03,"K017","SWH","upland",0
-1.978,17.03,"K017","SWH","upland",0
-1.958,17.03,"K017","SWH","upland",0
-1.938,17.03,"K017","SWH","upland",0
-1.918,17.03,"K017","SWH","upland",0
-1.898,17.03,"K017","SWH","upland",0
-1.878,17.03,"K017","SWH","upland",0
-1.858,17.03,"K017","SWH","upland",0
-1.838,17.03,"K017","SWH","upland",0
-1.818,17.03,"K017","SWH","upland",0
-1.798,17.03,"K017","SWH","upland",0
-1.778,17.03,"K017","SWH","upland",0
-1.758,17.03,"K017","SWH","upland",0
-1.737,17.03,"K017","SWH","upland",0
-1.717,17.03,"K017","SWH","upland",0
-1.697,17.03,"K017","SWH","upland",0
-1.677,17.03,"K017","SWH","upland",0
-1.657,17.03,"K017","SWH","upland",0
-1.637,17.03,"K017","SWH","upland",0
-1.617,17.03,"K017","SWH","upland",0
-1.597,17.03,"K017","SWH","upland",0
-1.577,17.03,"K017","SWH","upland",0
-1.557,17.03,"K017","SWH","upland",0
-1.537,17.03,"K017","SWH","upland",0
-1.517,17.03,"K017","SWH","upland",0
-1.497,17.03,"K017","SWH","upland",0
-1.477,17.03,"K017","SWH","upland",0
-1.457,17.03,"K017","SWH","upland",0
-1.437,17.03,"K017","SWH","upland",0
-1.417,17.03,"K017","SWH","upland",0
-1.397,17.03,"K017","SWH","upland",0
-1.377,17.03,"K017","SWH","upland",0
-1.357,17.03,"K017","SWH","upland",0
-1.337,17.03,"K017","SWH","upland",0
